directors,popularity,stars,title,writers
,94,,The Shawshank Redemption,
,105,,The Dark Knight,
,559,,12 Angry Men,
,336,,The Lord of the Rings: The Return of the King,
,579,,"The Good, the Bad and the Ugly",
,120,,The Godfather,
,189,,The Lord of the Rings: The Fellowship of the Ring,
,255,,Schindler's List,
,292,,Fight Club,
,504,,The Godfather: Part II,
,218,,Forrest Gump,
,754,,Star Wars: Episode V - The Empire Strikes Back,
,"1,884",,Cool Hand Luke,
,"2,278",,Dog Day Afternoon,
,676,,The Lord of the Rings: The Two Towers,
,171,,Inception,
,"1,144",,Beauty and the Beast,
,213,,Goodfellas,
,989,,The Handmaiden,
,152,,Pulp Fiction,
,"4,651",,Song of the Sea,
,"3,836",,Castle in the Sky,
,"4,083",,Winter Sleep,
,521,,Pirates of the Caribbean: The Curse of the Black Pearl,
,"4,070",,Tangerines,
,,,"Paris, Texas",
,"1,664",,The Bourne Ultimatum,
,535,,The Help,
,"2,664",,Gangs of Wasseypur,
,"2,228",,In the Mood for Love,
,"4,419",,Paper Moon,
,"2,694",,Before Sunset,
,777,,Groundhog Day,
,128,,Guardians of the Galaxy,
,666,,The Wizard of Oz,
,,,La Haine,
,629,,Jaws,
,86,,Blade Runner 2049,
,247,,La La Land,
,439,,The Terminator,
,561,,Donnie Darko,
,983,,Dead Poets Society,
,"3,026",,Gandhi,
,"4,343",,The Maltese Falcon,
,798,,"Monsters, Inc.",
,407,,Rocky,
,195,,Harry Potter and the Deathly Hallows: Part 2,
,604,,Catch Me If You Can,
,330,,The Princess Bride,
,,,Hachi: A Dog's Tale,
,"1,273",,Butch Cassidy and the Sundance Kid,
,"2,933",,Amores Perros,
,"4,087",,Nausicaä of the Valley of the Wind,
,172,,Logan,
,,,Barry Lyndon,
,"1,949",,Before Sunrise,
,209,,Mad Max: Fury Road,
,"1,429",,Rush,
,"1,088",,Million Dollar Baby,
,735,,12 Years a Slave,
,460,,Spotlight,
,406,,Prisoners,
,"2,431",,Ben-Hur,
,"3,017",,Memories of Murder,
,,,Persona,
,,,Andrei Rublev,
,"2,276",,Hotel Rwanda,
,,,Stalker,
,610,,Stand by Me,
,"2,563",,Network,
,"4,719",,It Happened One Night,
,"2,240",,Life of Brian,
,549,,The Truman Show,
,"2,923",,In the Name of the Father,
,530,,Into the Wild,
,"1,576",,Wild Tales,
,131,,Jurassic Park,
,486,,The Grand Budapest Hotel,
,"1,063",,Platoon,
,203,,Gone Girl,
,"1,173",,How to Train Your Dragon,
,,,Mary and Max,
,353,,Hacksaw Ridge,
,360,,The Big Lebowski,
,443,,Shutter Island,
,,,Rebecca,
,,,Come and See,
,915,,Finding Nemo,
,"1,200",,Gran Torino,
,540,,Kill Bill: Vol. 1,
,661,,The Thing,
,991,,The Deer Hunter,
,553,,Fargo,
,585,,The Sixth Sense,
,588,,There Will Be Blood,
,256,,No Country for Old Men,
,,,Dial M for Murder,
,791,,Trainspotting,
,948,,Gone with the Wind,
,812,,Warrior,
,329,,Blade Runner,
,803,,V for Vendetta,
,"1,896",,The Elephant Man,
,359,,Inside Out,
,200,,Room,
,181,,The Wolf of Wall Street,
,,,The Seventh Seal,
,"1,247",,Casino,
,452,,A Beautiful Mind,
,"1,354",,"Lock, Stock and Two Smoking Barrels",
,"3,273",,On the Waterfront,
,123,,"Three Billboards Outside Ebbing, Missouri",
,"3,452",,The Bridge on the River Kwai,
,"1,901",,My Neighbor Totoro,
,"1,550",,The Secret in Their Eyes,
,"3,560",,Ran,
,"1,406",,Howl's Moving Castle,
,"2,301",,The Third Man,
,"3,909",,Judgment at Nuremberg,
,627,,Pan's Labyrinth,
,"1,239",,Chinatown,
,,,Children of Heaven,
,"1,844",,Raging Bull,
,462,,Heat,
,"1,175",,Incendies,
,"1,999",,The Great Escape,
,,,Ikiru,
,"1,221",,Downfall,
,745,,Unforgiven,
,"1,585",,Some Like It Hot,
,611,,Die Hard,
,463,,Batman Begins,
,"2,637",,A Separation,
,663,,Up,
,"1,153",,Indiana Jones and the Last Crusade,
,"3,062",,All About Eve,
,,,Rashomon,
,"2,120",,Metropolis,
,"2,725",,For a Few Dollars More,
,"1,027",,L.A. Confidential,
,669,,Snatch,
,,,The Apartment,
,291,,Scarface,
,"1,536",,Monty Python and the Holy Grail,
,"1,045",,The Hunt,
,503,,Good Will Hunting,
,188,,Inglourious Basterds,
,374,,Full Metal Jacket,
,"1,067",,Toy Story 3,
,"1,317",,The Sting,
,370,,Taxi Driver,
,"2,151",,Singin' in the Rain,
,,,Bicycle Thieves,
,760,,Toy Story,
,943,,To Kill a Mockingbird,
,"1,204",,3 Idiots,
,398,,Eternal Sunshine of the Spotless Mind,
,"3,893",,Double Indemnity,
,"1,210",,Amadeus,
,"1,073",,Lawrence of Arabia,
,403,,A Clockwork Orange,
,378,,Requiem for a Dream,
,"1,072",,Amélie,
,,,M,
,,,Taare Zameen Par,
,457,,2001: A Space Odyssey,
,,,Dangal,
,"1,040",,Star Wars: Episode VI - Return of the Jedi,
,"1,315",,Vertigo,
,591,,Reservoir Dogs,
,616,,Your Name.,
,510,,Braveheart,
,,,Once Upon a Time in America,
,"2,219",,North by Northwest,
,"2,063",,Das Boot,
,273,,Aliens,
,"1,162",,Citizen Kane,
,710,,Oldboy,
,"1,218",,WALL·E,
,236,,The Dark Knight Rises,
,117,,Coco,
,,,Witness for the Prosecution,
,326,,American Beauty,
,232,,Django Unchained,
,,,Paths of Glory,
,222,,The Shining,
,"1,393",,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,
,890,,The Lives of Others,
,"1,753",,Princess Mononoke,
,,,The Great Dictator,
,,,Sunset Boulevard,
,"2,129",,Cinema Paradiso,
,,,Grave of the Fireflies,
,377,,The Prestige,
,595,,Memento,
,384,,Apocalypse Now,
,297,,Whiplash,
,603,,Raiders of the Lost Ark,
,185,,Gladiator,
,334,,The Lion King,
,"1,414",,Rear Window,
,418,,Terminator 2,
,237,,Back to the Future,
,18,,Avengers: Infinity War,
,"4,118",,Modern Times,
,758,,The Pianist,
,252,,The Departed,
,742,,The Intouchables,
,"1,015",,Casablanca,
,315,,Alien,
,936,,Once Upon a Time in the West,
,301,,Léon: The Professional,
,632,,American History X,
,137,,Interstellar,
,394,,Psycho,
,,,City Lights,
,"451
        ",,The Green Mile,
,430,,The Usual Suspects,
,417,,Saving Private Ryan,
,"1,283",,It's a Wonderful Life,
,268,,The Silence of the Lambs,
,686,,City of God,
,587,,Spirited Away,
,267,,Se7en,
,332,,Star Wars: Episode IV - A New Hope,
,795,,Life Is Beautiful,
,260,,The Matrix,
,478,,One Flew Over the Cuckoo's Nest,
,"1,344",,Seven Samurai,
directors,popularity,stars,title,writers
,94,,The Shawshank Redemption,
,120,,The Godfather,
,579,,"The Good, the Bad and the Ugly",
,189,,The Lord of the Rings: The Fellowship of the Ring,
,255,,Schindler's List,
,336,,The Lord of the Rings: The Return of the King,
,504,,The Godfather: Part II,
,559,,12 Angry Men,
,292,,Fight Club,
,754,,Star Wars: Episode V - The Empire Strikes Back,
,171,,Inception,
,105,,The Dark Knight,
,152,,Pulp Fiction,
,"4,651",,Song of the Sea,
,213,,Goodfellas,
,676,,The Lord of the Rings: The Two Towers,
,218,,Forrest Gump,
,989,,The Handmaiden,
,"2,278",,Dog Day Afternoon,
,"1,144",,Beauty and the Beast,
,521,,Pirates of the Caribbean: The Curse of the Black Pearl,
,"4,070",,Tangerines,
,"1,664",,The Bourne Ultimatum,
,"4,083",,Winter Sleep,
,"3,836",,Castle in the Sky,
,"2,664",,Gangs of Wasseypur,
,128,,Guardians of the Galaxy,
,"2,228",,In the Mood for Love,
,,,"Paris, Texas",
,"2,694",,Before Sunset,
,629,,Jaws,
,535,,The Help,
,,,La Haine,
,666,,The Wizard of Oz,
,983,,Dead Poets Society,
,86,,Blade Runner 2049,
,777,,Groundhog Day,
,247,,La La Land,
,"4,419",,Paper Moon,
,"3,026",,Gandhi,
,561,,Donnie Darko,
,"4,343",,The Maltese Falcon,
,407,,Rocky,
,439,,The Terminator,
,,,Barry Lyndon,
,798,,"Monsters, Inc.",
,604,,Catch Me If You Can,
,"4,087",,Nausicaä of the Valley of the Wind,
,"1,273",,Butch Cassidy and the Sundance Kid,
,195,,Harry Potter and the Deathly Hallows: Part 2,
,406,,Prisoners,
,330,,The Princess Bride,
,"2,933",,Amores Perros,
,"1,949",,Before Sunrise,
,460,,Spotlight,
,172,,Logan,
,,,Hachi: A Dog's Tale,
,209,,Mad Max: Fury Road,
,"1,088",,Million Dollar Baby,
,"1,429",,Rush,
,735,,12 Years a Slave,
,"2,431",,Ben-Hur,
,"3,017",,Memories of Murder,
,"2,276",,Hotel Rwanda,
,,,Andrei Rublev,
,,,Persona,
,,,Stalker,
,549,,The Truman Show,
,610,,Stand by Me,
,"2,563",,Network,
,"1,063",,Platoon,
,"4,719",,It Happened One Night,
,"2,923",,In the Name of the Father,
,486,,The Grand Budapest Hotel,
,"2,240",,Life of Brian,
,131,,Jurassic Park,
,530,,Into the Wild,
,"1,173",,How to Train Your Dragon,
,203,,Gone Girl,
,"1,576",,Wild Tales,
,,,Mary and Max,
,"1,884",,Cool Hand Luke,
,443,,Shutter Island,
,,,Rebecca,
,353,,Hacksaw Ridge,
,540,,Kill Bill: Vol. 1,
,,,Come and See,
,915,,Finding Nemo,
,991,,The Deer Hunter,
,360,,The Big Lebowski,
,553,,Fargo,
,"1,200",,Gran Torino,
,661,,The Thing,
,256,,No Country for Old Men,
,585,,The Sixth Sense,
,,,Dial M for Murder,
,948,,Gone with the Wind,
,588,,There Will Be Blood,
,791,,Trainspotting,
,812,,Warrior,
,329,,Blade Runner,
,803,,V for Vendetta,
,181,,The Wolf of Wall Street,
,"1,247",,Casino,
,359,,Inside Out,
,"1,896",,The Elephant Man,
,,,The Seventh Seal,
,452,,A Beautiful Mind,
,"1,354",,"Lock, Stock and Two Smoking Barrels",
,200,,Room,
,"3,273",,On the Waterfront,
,123,,"Three Billboards Outside Ebbing, Missouri",
,"1,550",,The Secret in Their Eyes,
,"3,560",,Ran,
,"3,909",,Judgment at Nuremberg,
,"3,452",,The Bridge on the River Kwai,
,627,,Pan's Labyrinth,
,,,Children of Heaven,
,"1,406",,Howl's Moving Castle,
,"2,301",,The Third Man,
,"1,239",,Chinatown,
,"1,901",,My Neighbor Totoro,
,"1,999",,The Great Escape,
,"1,844",,Raging Bull,
,"1,175",,Incendies,
,462,,Heat,
,"1,221",,Downfall,
,611,,Die Hard,
,,,Ikiru,
,"1,585",,Some Like It Hot,
,463,,Batman Begins,
,745,,Unforgiven,
,"2,637",,A Separation,
,,,Rashomon,
,"1,153",,Indiana Jones and the Last Crusade,
,"2,120",,Metropolis,
,"3,062",,All About Eve,
,663,,Up,
,"1,027",,L.A. Confidential,
,,,The Apartment,
